"company_id","city","state_name","lat","lng","population","position_count","wage_median"
27732,"Nashville","Tennessee",36.1715,-86.7842,1177657,11,150000
9604,"Nashville","Tennessee",36.1715,-86.7842,1177657,5,141300
9590,"Nashville","Tennessee",36.1715,-86.7842,1177657,1857,72400
4605,"Nashville","Tennessee",36.1715,-86.7842,1177657,6,112923
27732,"Salt Lake City","Utah",40.7776,-111.9311,1173879,5,144500
9604,"Salt Lake City","Utah",40.7776,-111.9311,1173879,4,132000
9590,"Salt Lake City","Utah",40.7776,-111.9311,1173879,26,70554
27732,"Raleigh","North Carolina",35.8324,-78.6429,1163152,137,161000
9604,"Raleigh","North Carolina",35.8324,-78.6429,1163152,104,148000
132,"Raleigh","North Carolina",35.8324,-78.6429,1163152,15,145621
132,"Richmond","Virginia",37.5295,-77.4756,1073223,39,167440
9604,"Richmond","Virginia",37.5295,-77.4756,1073223,14,141000
9590,"Richmond","Virginia",37.5295,-77.4756,1073223,26,87984
4605,"Richmond","Virginia",37.5295,-77.4756,1073223,6,108347
132,"Memphis","Tennessee",35.1087,-89.9663,1037998,14,158300
9590,"Memphis","Tennessee",35.1087,-89.9663,1037998,26,92000
9604,"Memphis","Tennessee",35.1087,-89.9663,1037998,3,145000
4605,"Memphis","Tennessee",35.1087,-89.9663,1037998,2,94401
4605,"Oklahoma City","Oklahoma",35.4676,-97.5136,998806,4,83400
9590,"Louisville","Kentucky",38.1663,-85.6485,963812,11,93725
9604,"Louisville","Kentucky",38.1663,-85.6485,963812,3,120000
4605,"Buffalo","New York",42.9018,-78.8487,944589,53,118224
9604,"Buffalo","New York",42.9018,-78.8487,944589,4,141600
4605,"Tucson","Arizona",32.1541,-110.8787,878320,36,133169
9590,"Tucson","Arizona",32.1541,-110.8787,878320,8,139301
57585,"Omaha","Nebraska",41.2627,-96.0529,821345,32,118000
27732,"Omaha","Nebraska",41.2627,-96.0529,821345,11,127500
132,"Omaha","Nebraska",41.2627,-96.0529,821345,4,151410
9590,"Omaha","Nebraska",41.2627,-96.0529,821345,7,69035
4605,"Omaha","Nebraska",41.2627,-96.0529,821345,2,130000
9590,"Birmingham","Alabama",33.5279,-86.7971,782111,3,138000
4605,"Tulsa","Oklahoma",36.1283,-95.9042,731743,5,116605
9590,"Tulsa","Oklahoma",36.1283,-95.9042,731743,7,42245
9590,"Fresno","California",36.783,-119.7939,725276,7,93496
4605,"Fresno","California",36.783,-119.7939,725276,2,270671
9590,"Charleston","South Carolina",32.8168,-79.9687,706884,14,148842
132,"Charleston","South Carolina",32.8168,-79.9687,706884,6,167682
9604,"Charleston","South Carolina",32.8168,-79.9687,706884,3,173800
9590,"Rochester","New York",43.168,-77.6162,699921,23,126900
4605,"Rochester","New York",43.168,-77.6162,699921,2,155000
9604,"Rochester","New York",43.168,-77.6162,699921,2,140000
57585,"Rochester","New York",43.168,-77.6162,699921,2,178000
9590,"Colorado Springs","Colorado",38.8674,-104.7605,638194,10,81900
9590,"Baton Rouge","Louisiana",30.442,-91.1311,635671,16,150000
